Event,Date,White,Black,Result,Opening,ECO,WhiteElo,BlackElo,TimeControl,Termination,EndgameStartMove,PawnCount,RookCount,QueenCount,Winner,WhiteElo_normalized,BlackElo_normalized,WhiteElo_scaled,BlackElo_scaled,Result_encoded,BaseTime,TimeControlValidation,UniqueID
Blitz,2024.08.01,RodolfoAlv,CAV-Pablo,1/2-1/2,"Giuoco Pianissimo, Normal",C50,1721,1718,300+1,Normal,93.0,2.0,0.0,0.0,Draw,0.4789702683103698,0.4778825235678027,0.1512347415023067,0.1431270866595629,0.5,300.0,Correct,1
Bullet,2024.08.01,Babusckah,sureelmejor,1-0,Slav Invitation,A04,2606,2266,60+0,Time forfeit,91.0,3.0,0.0,0.0,White,0.7998549673676577,0.6765772298767223,2.410491380119158,1.5410463545467763,1.0,60.0,Correct,2
Blitz,2024.08.01,Madsjo74,SaulBena,1/2-1/2,Smith-Morra Gambit,B21,1159,1151,180+2,Normal,100.0,1.0,2.0,0.0,Draw,0.2751994198694706,0.2722987672226251,-1.2834570448283944,-1.3032601850412584,0.5,180.0,Correct,3
Blitz,2024.08.01,nbanco,Nikolay_Car,0-1,Carls-Bremen System,A22,1920,1922,180+2,Normal,113.0,2.0,0.0,0.0,Black,0.5511240029006527,0.551849166062364,0.6592483811460959,0.6635203907635621,0.0,180.0,Correct,4
Blitz,2024.08.01,Matt194759374,kingmaker2,0-1,Queen's Pawn Game,D00,1511,1493,180+0,Time forfeit,103.0,4.0,0.0,0.0,Black,0.4028281363306744,0.3963016678752719,-0.3848600541016919,-0.4308361163963185,0.0,180.0,Correct,5
Blitz,2024.08.01,hydr13,Jay_patel13,0-1,Englund Gambit,A40,1840,1835,180+0,Time forfeit,130.0,3.0,0.0,0.0,Black,0.5221174764321972,0.5203045685279187,0.4550217923445726,0.4415879522486212,0.0,180.0,Correct,6
Blitz,2024.08.01,alexvasconcellos,Dchestking,1-0,"Symmetrical Variation, Fianchetto Variation",A34,1198,1206,300+0,Normal,77.0,1.0,2.0,0.0,White,0.2893401015228426,0.2922407541696882,-1.1838965827876518,-1.1629580687387095,1.0,300.0,Correct,7
Blitz,2024.08.01,gmctmofc,Cherryknight,1/2-1/2,French Defense,C00,1225,1244,300+0,Time forfeit,113.0,3.0,0.0,0.0,Draw,0.2991298042059463,0.3060188542422045,-1.1149701090671376,-1.066022061111494,0.5,300.0,Correct,8
Bullet,2024.08.01,catse21,Finance04,0-1,"Accelerated Dragon, Modern Variation",B34,2422,2505,60+0,Normal,94.0,3.0,1.0,0.0,Black,0.7331399564902104,0.7632342277012327,1.9407702258756545,2.15072282357058,0.0,60.0,Correct,9
Bullet,2024.08.01,fiesty1,tiagorech,0-1,Dutch Variation,A01,1799,1800,60+0,Time forfeit,88.0,4.0,0.0,0.0,Black,0.5072516316171138,0.5076142131979695,0.3503556655837919,0.3523047873288175,0.0,60.0,Correct,10
Blitz,2024.08.01,Megac1,riveremb1,1-0,Bishop's Opening,C23,1085,1019,180+2,Normal,95.0,3.0,0.0,0.0,White,0.2483683828861494,0.2244379985496737,-1.4723666394698034,-1.6399852641673751,1.0,180.0,Correct,11
Blitz,2024.08.01,saifallahe,figo_ole,1-0,Van't Kruijs Opening,A00,1368,1458,180+0,Time forfeit,152.0,2.0,0.0,0.0,White,0.3509789702683104,0.3836113125453226,-0.7499150815844148,-0.5201192813161223,1.0,180.0,Correct,12
Blitz,2024.08.01,lipp89,camipalv18,1-0,Italian Variation,C50,1490,1347,240+2,Normal,90.0,4.0,0.0,0.0,White,0.3952139231327048,0.3433647570703408,-0.4384695336620917,-0.8032744614903572,1.0,240.0,Correct,13
Blitz,2024.08.01,ferchis04,A11Carlos,1-0,King's Knight Opening,C40,1782,1512,180+1,Normal,105.0,3.0,0.0,1.0,White,0.5010877447425671,0.40319071791153,0.3069575154634682,-0.3823681125827107,1.0,180.0,Correct,14
Rapid,2024.08.01,masterengels23,proletkatapelt1983,1-0,Modern Variation,A01,1671,1653,600+0,Normal,93.0,3.0,0.0,0.0,White,0.4608411892675852,0.4543147208121827,0.0235931235013546,-0.0226845053343584,1.0,600.0,Correct,15
Blitz,2024.08.01,NaulAmilSatierf,sashaxx,0-1,Knight Variation,C00,1382,1390,180+2,Time forfeit,101.0,4.0,0.0,0.0,Black,0.3560551124002901,0.3589557650471355,-0.7141754285441482,-0.6935837160174554,0.0,180.0,Correct,16
Bullet,2024.08.01,salahsalimhanebaly,schachgenie,1-0,Panov Transfer,B01,2332,2314,60+0,Time forfeit,121.0,3.0,0.0,0.0,White,0.700507614213198,0.6939811457577955,1.7110153134739408,1.6634918378653645,1.0,60.0,Correct,17
Blitz,2024.08.01,Chess_Gangsta94,Abo-aody1,1-0,Classical Variation,B56,2040,2035,180+0,Time forfeit,88.0,2.0,0.0,0.0,White,0.5946337926033357,0.5928208846990572,0.9655882643483809,0.9517774660760714,1.0,180.0,Correct,18
Blitz,2024.08.01,rishik10,aquilanoalfredo,1-0,Horwitz Defense,A40,1876,1862,180+0,Time forfeit,153.0,2.0,0.0,1.0,White,0.5351704133430022,0.5300942712110225,0.5469237573052581,0.5104635366153271,1.0,180.0,Correct,19
Blitz,2024.08.01,gadgad100,Johnny-ramone,0-1,Normal Variation,C00,1307,1250,180+0,Normal,82.0,2.0,0.0,1.0,Black,0.3288614938361132,0.3081943437273386,-0.9056378555455764,-1.0507163756966704,0.0,180.0,Correct,20
